project_reference,project_name,status,year_in_map,capacity_kt_h2_per_year,latitude,longitude,source_publication
603,"Ningxia Solar Hydrogen Project, Phase 1",Operational,2021,5.084608696,38.49253463745117,106.23847198486328,GHR2026
613,Weifang Binhai Photovoltaic 100MW Hydrogen Generation Project,Concept,0,0.0,36.86648941040039,119.20890808105469,GHR2026
701,Fine Chemical Industry Park of Lanzhou,Operational,2020,0.77964,36.07416534423828,103.83243560791016,GHR2026
719,Hebei Jiantou Guyuan wind project - 2nd phase,Operational,2021,1.016921739,41.56089401245117,115.73310852050781,GHR2026
2941,Siziwang Banner project,FID/Construction,2027,90.0,40.99705505371094,113.12621307373047,GHR2026
2969,Hydrogen Energy Comprehensive Utilization Project,Concept,0,40.17867,37.412078857421875,118.7198257446289,GHR2026
2971,Multi-complementary Hydroalcohol Integragtion Project,Feasibility study,0,95.6635,37.417728424072266,121.43062591552734,GHR2026
2973,Chifeng Wind-scope Hydrogen and Alcohol Integration and Hydrogen Energy Supporting Industry Project,Feasibility study,0,22.95924,42.30032730102539,118.90570068359375,GHR2026
2974,yingkou Xianren Island 5 Million Ton methanol Hydrogen clean energy project,Concept,0,956.635,40.637088775634766,122.27119445800781,GHR2026
2975,"Lanze Energy 300,000 tons per year green methanol project",Feasibility study,0,57.3981,33.36532211303711,120.1790771484375,GHR2026
2977,"Jidian corporation Yancheng 300,000 tons green methanol project",Feasibility study,0,57.3981,33.36532211303711,120.1790771484375,GHR2026
2979,Handan one million tons green methanol preparation demonstration area project,Concept,0,191.327,36.628273010253906,114.44080352783203,GHR2026
2980,Research project on the topic of biomass gasification and green electricity to hydrogen synthesis of green methanol,DEMO,0,19.1327,30.00276756286621,122.21047973632812,GHR2026
2981,Guoneng Zhongdian Group Guzhou Green Methanol Project,Feasibility study,0,30.61232,26.671781539916992,107.97349548339844,GHR2026
2982,Sinochem Baicheng Renewable Green Energy Project,FID/Construction,0,57.3981,45.62565994262695,122.84099578857422,GHR2026
2983,Zhongneng Construction Heilongjiang Million-ton Green Hydrogen to Green Methanol Production Project,Feasibility study,0,191.327,46.67976379394531,131.16542053222656,GHR2026
2984,Wind power coupled biomass green methanol integration Project  - Phase I,FID/Construction,2029,57.3981,45.31194305419922,130.9634246826172,GHR2026
2987,Vision Tongliao Wind-Solar Power to Hydrogen-Ammonia-Methanol Integration Project,FID/Construction,2027,81.03241297,43.657081604003906,122.20092010498047,GHR2026
2988,"Shenghong Petrochemical 100,00 tons/year Carbon Dioxide to Green Methanol Project",Operational,2023,19.1327,34.620540618896484,119.10688781738281,GHR2026
2990,Jilin Changling Wind-Solar-Hydrogen-Ammonia Digital Demonstration Project,DEMO,0,62.563929,45.14690017700195,124.82884216308594,GHR2026
2991,Off-grid wind power to hydrogen ,Operational,2024,2.33892,42.28187561035156,123.80896759033203,GHR2026
2993,China Tiancheng wind-solar-storage-hydrogen-ammonia-methanol integration project,Concept,0,19.1327,46.608924865722656,125.05663299560547,GHR2026
2994,"Huadian Keyouqianqi 50,000 kW wind power to hydrogen to green methanol integrated project",Feasibility study,2028,38.2654,46.47705841064453,121.98493957519531,GHR2026
2995,Wind-solar Energy coupled biomass to green methanol project,Concept,0,191.327,42.28187561035156,123.80896759033203,GHR2026
3797,Baowu Qingneng (Yangjiang) Green Hydrogen Industrial Park,Concept,0,145.4545455,21.858352661132812,111.98094940185547,GHR2026
3809,"Gemeng Nuojin Hydrogen Energy Duolun, phase 1",Feasibility study,2028,62.66506603,44.008018493652344,116.3094253540039,GHR2026
3810,"Gemeng Nuojin Hydrogen Energy Duolun, phase 2",Feasibility study,0,69.5,44.008018493652344,116.3094253540039,GHR2026
3819,"MingYang Offshore Wind (Dongfang CZ9) PtX, Hydrogen and 100000T/A Green Methanol Demo Stage 1 ",Feasibility study,2030,11.6946,19.044633865356445,108.65290832519531,GHR2026
3832,"Yuanhuang Energy Inner Mongolia e-methanol project, phase 2",Concept,0,66.96445,40.747039794921875,107.43833923339844,GHR2026
721,Hyper Hydrogen Energy Zhangjiakou Wind Power Hebei - first phase,Operational,2020,1.5695,40.810001373291016,114.87944030761719,GHR2026
732,Hebei Jiantou Guyuan wind project - 1st phase,Operational,2019,0.677947826,41.56089401245117,115.73310852050781,GHR2026
765,Siemens Energy and Beijing Green Hydrogen Technology Development HRS,DEMO,2022,0.149930769,39.919517517089844,116.39730834960938,GHR2026
785,Chongli wind-solar Hydrogen Project - first phase,Operational,2021,0.6205,40.75416946411133,115.03260040283203,GHR2026
788,Chongli wind-solar Hydrogen Project - second phase,Operational,2022,0.855,40.75416946411133,115.03260040283203,GHR2026
831,Baicheng City Bus Company - Songyuan City,Operational,2023,1.03952,45.6226806640625,122.84843444824219,GHR2026
851,"Shell China - Zhangjiakou Transportation Investment, phase 1",Operational,2022,3.38973913,40.78163146972656,114.86766052246094,GHR2026
860,Huaneng electrolysis plant in Western Sichuan,Operational,2023,2.027064,30.583993911743164,104.04500579833984,GHR2026
882,Beijing Jingneng Power Company,Concept,0,500.0,40.05606460571289,115.54292297363281,GHR2026
1012,Yanqing Hydrogen Energy Industrial Park,Operational,2023,1.022,40.51381301879883,116.12152099609375,GHR2026
1013,Cangzhou Bohai New District Hydrogen,Concept,0,0.0,38.31669998168945,116.84062957763672,GHR2026
1015,Hydrogen Energy Equipment Industrial Cluster Project in Handan Economic and Technological Development Zone,Concept,0,0.0,32.31093215942383,120.38030242919922,GHR2026
1017,CGN Baicheng Hydrogen Production Project - Jilin,DEMO,2023,0.038982,43.814208984375,126.46669006347656,GHR2026
