figure,file_version,date,tool,tool_version,editor,operation,data_elements_changed,verified_against_source,notes
ALL,initial,2026-08-21,repository-copy,n/a,Jinwei Liang,Initial submission artwork copied from code-generated PDFs,false,true,No post-processing applied
Figure3,method-consistency,2026-08-21,matplotlib,3.11.1,Codex,"Relabelled the record percentile axis and marked the 4.5x classification plateau and 20x right-censoring boundary",false,true,"No data point, scale or classification changed"
Figure4,layout-regeneration,2026-08-21,matplotlib,3.11.1,Codex,"Regenerated the existing seven-panel layout before full-width manuscript insertion",false,true,"No data point, scale or classification changed"
Figure3,incidence-boundary,2026-08-22,matplotlib,3.11.1,Codex,"Replaced panel e with the non-stack transfer--price-pass-through boundary and added the component-incidence annotation to panel b",true,true,"Figure and source-data tables were regenerated together; no manual data-bearing edits were applied"
Figure4,continuous-flexibility-frontier,2026-08-27,matplotlib,3.11.1,Codex,"Replaced the threshold-dependent flexibility matrix with a continuous output--capital frontier and a minimum-build discontinuity decomposition",true,true,"S27 was regenerated with separate total, lower-screen and 6.5%-return output columns; all four PDF copies are byte-identical"
ExtendedDataFigure1,30-year-horizon-refresh,2026-08-28,matplotlib,3.11.1,Codex,"Regenerated the hourly-allocation panels from the current 30-year M129 tables and replaced the stale 35-year cohort values",true,true,"Daily, annual and proportional proxies now report 1,809/475/5,544 lower-rule records and 0.32/0.12/0.81 Mt H2 yr-1; all three PDF copies are byte-identical"
Figure1,unified-osm-geometry,2026-08-28,matplotlib,3.11.1,Codex,"Rebuilt the coastline, land mask, national outline and province linework from a single OpenStreetMap geometry stack and projected all map layers with the station coordinates",false,true,"Cross-source affine registration was removed; data values and station coordinates are unchanged; OSM geometry is cartographic context rather than legal boundary adjudication"
Figure4,marginal-flexibility-yield,2026-08-31,matplotlib,3.11.1,Codex,"Replaced the mechanically linear avoided-CAPEX waterfall in panel g with marginal durable-record yield per CNY billion not committed",false,true,"Panels a-f, the figure canvas and all underlying values are unchanged; panel g now exposes diminishing return gains across equal 25-percentage-point flexibility steps"
Figure4,caption-clarification,2026-08-31,matplotlib,3.11.1,Codex,"Moved the equal 3.93-billion-CNY step explanation from panel g into the figure legend",false,true,"No data, geometry, panel size or axis changed; the legend now explains why unequal bar heights measure marginal durability yield"
ALL,manual-layout-refinement,2026-08-31,Inkscape,n/a,Jinwei Liang,"Refined panel spacing and text placement in Figures 1--4 without changing plotted data",false,true,"The original code-generated vector PDFs remain archived; the manuscript uses the supplied 330-dpi PNG refinements for review, pending final vector export"
