parameter_family,values_used,evidence_source,citation_key,construction,inferential_status,source_url
deployment_start,"4 GW in 2026","IEA Global Hydrogen Review 2026 reports global installed electrolysis above 4 GW at end-2025",iea2026,"rounded observed starting point","external observation",https://www.iea.org/reports/global-hydrogen-review-2026
deployment_paths,"slow 80/300/700/1000; central 140/700/1400/2200; fast 220/1200/2500/3500 GW for 2030/2040/2050/2060","IEA project pipeline and IEA/IRENA transition pathways define a broad external envelope; IRENA values are from the WETO 2023 executive-summary tracking table","ieaelectrolysers2024;iea2023nze;iea2021minerals;irena2023;odenweller2025","author-selected nodes with explicit annual interpolation","conditional scenario; not forecast",https://www.iea.org/energy-system/hydrogen/electrolysers
experience_curve_form,"component-specific one-factor curves","component-learning and endogenous-learning literature","ferioli2009;zeyen2023","standard experience-curve equation applied separately by component","model representation",https://doi.org/10.1016/j.enpol.2008.10.043
equipment_and_stack_learning_rate,"0/8/13/18 percent per doubling","global observations estimate 14-17 percent system-price learning per doubling",glenk2023,"13 percent selected just below observed system band; 8 and 18 percent bracket it","conditional transfer to replacement stack; not stack estimate",https://doi.org/10.1039/D3EE01208E
bop_epc_learning_rate,"0/2/5/8 percent per doubling","component-learning literature supports separate rates but not these exact values",ferioli2009,"author-selected lower component rates","conditional scenario",https://doi.org/10.1016/j.enpol.2008.10.043
electricity_use,"55 initial; 52/50/48 kWh per kg endpoints","DOE Table A-2 liquid-alkaline beginning/interim/ultimate values and global efficiency-learning evidence","doe2024;glenk2023","50 is an interior central endpoint; paths interpolate in log-deployment progress","source-bounded engineering trajectory",https://www.energy.gov/sites/default/files/2024-12/hydrogen-shot-water-electrolysis-technology-assessment.pdf
stack_life,"60000 initial; 80000/90000/100000 h endpoints","DOE Table A-2 current/target values and World Bank Table ES1 60000-90000 h range","doe2024;worldbank2026","100000 h is deliberately optimistic","source-bounded through 90000 h; optimistic stress at 100000 h",https://doi.org/10.1596/44443
replacement_stack_cost_floor,"0.65/0.55/0.40 cost factors","published assessments support cost-reduction potential but do not report these exact floors",irena2020,"author-imposed extrapolation guards","conditional scenario",https://www.irena.org/Publications/2020/Dec/Green-hydrogen-cost-reduction
replacement_event_scope,"11 percent central; 6-45 percent sensitivity","DOE Table A-2 reports 11 percent of total installed cost per replacement event",doe2024,"range crossed in deterministic sensitivity","source-anchored central value plus stress range",https://www.energy.gov/sites/default/files/2024-12/hydrogen-shot-water-electrolysis-technology-assessment.pdf
capital_component_shares,"50-70 percent direct; stack 20-50 percent of direct","World Bank Fig. 2.3 reports 65:35-70:30 direct-to-indirect CAPEX and its direct-CAPEX review reports 20-50 percent stack share; IRENA supplies an additional component boundary","worldbank2026;irena2020","67.5 percent direct and 25 percent stack-of-direct are transparent interior choices","source-bounded range",https://doi.org/10.1596/44443
hydrogen_price_anchor,"28 CNY per kg","December 2024 mixed-route producer-side index",nea2025hydrogen,"rounded evaluation anchor","source-contextualised; not renewable-hydrogen contract",https://www.nea.gov.cn/20250430/96022785b3a747248288ad1c57d3a025/c.html
terminal_price_paths,"22/18/15/12 CNY per kg in 2060; front/linear/back timing","no market dataset identifies these paths","glenk2023;iea2025","author-defined unweighted stress envelope","conditional scenario; not forecast",https://www.iea.org/reports/global-hydrogen-review-2025
transfer_and_pass_through,"lambda 0-1; beta 0-1; alpha 0-1","no observed market-clearing or retrofit dataset identifies these coefficients",,"dimensionless boundary sweeps","falsification only; no central estimate",
flip_boundary,"learning rate 0-90 percent; cadence 20000-100000 h","60000-90000 h region is engineering-source-bounded","doe2024;worldbank2026","extreme values locate reversal","adversarial falsification boundary",https://doi.org/10.1596/44443
declared_prior_audit,"price/learning/resource/dependence/netback distributions","probabilistic feasibility literature demonstrates the stronger calibrated-distribution standard",odenweller2022,"analyst-declared priors over existing scenarios","assumption-weighted audit; not empirical FID probability",https://doi.org/10.1038/s41560-022-01097-4
