module,parameter,main_value,sensitivity_or_alternative,unit,status,evidence_or_source,model_role,required_interpretation
R1,analysis_inventory,"10,214 GEM ObjectId records","1,608 exact parent-name groups among the reference low-return cohort; coordinates diagnostic only",record,source_anchored,"Global Energy Monitor Global Wind Power Tracker and Global Solar Power Tracker, June 2024 release",project-record analysis unit,"ObjectId records may include project phases and are not asserted to be 10,214 distinct physical plants"
R1,inventory_capacity,"about 629",,GW,source_anchored,"GEM June 2024 operating-project snapshot",sample boundary,"Conditional inventory total, not current national installed capacity"
R1,annual_utilization_rate,"2025 province-by-technology rates",2021-2024 annual panel,percent,source_anchored,"National renewable-energy monitoring results and 2025 utilization table",annual curtailment calibration,"Annual utilization does not identify hourly dispatch events"
R1,weather_shape,"ERA5 2020-2025 hourly replay","six weather years",hourly,source_anchored,"Copernicus Climate Change Service ERA5, DOI 10.24381/cds.adbb2d47",meteorological robustness,"The same 2025 utilization rates are held fixed to isolate meteorology"
R1,wind_power_curve,"3 m/s cut-in; 12 m/s rated; 25 m/s cut-out","14 of 10,214 records capped at their physically feasible calibration envelope",m/s,engineering_assumption,"Transparent generic turbine curve implemented in build_era5_multiyear_resources.py",wind resource proxy,"Not a project-specific turbine power curve; capped records are explicitly flagged"
R1,curtailment_hour_shape,"daily peak-shaving reconstruction","annual-peak; proportional; six ERA5 weather shapes",hourly,model_reconstruction,"Annual provincial utilization plus hourly resource shape",low-opportunity-cost electricity profile,"Not observed hourly curtailment and not a negative-price series"
R1,within_province_allocation,"uniform province-technology rate","small-record-first; large-record-first energy-conserving extremes",annual_energy_share,partial_identification_stress,"Public utilization tables identify province-technology totals but not record-level allocation",record-level resource assignment,"Exact station counts and identities are conditional; all allocation cases conserve province-technology totals"
R1,alkaline_minimum_load,0.30,"0; 0.10; 0.40",share_of_rated_power,literature_informed_scenario,"DOE and World Bank electrolyzer assessments; conservative pressurized-alkaline main case",hourly dispatch,"Technology- and system-specific; PEM is reported separately in Supplementary sensitivity"
R2,complete_installed_system_capex,7200,"3600; 10800",CNY/kW,source_converted_scenario,"World Bank ESMAP 2026 reports 500-1500 USD/kW for installed alkaline systems; converted using a transparent 7.2 CNY/USD scenario assumption",initial investment,"7200 CNY/kW is the midpoint central case; the conversion factor is not presented as a dated exchange-rate observation and the IEA 600-1200 USD/kW China interval is contextual only"
R2,curtailed_electricity_price,0.10,"0; 0.05; 0.20",CNY/kWh,transparent_scenario,"No nationwide official curtailment-purchase tariff",electricity cash cost,"Must not be described as an observed national transaction price"
R2,fixed_om_and_stack_accounting,"5% fixed O&M plus 11% event replacement","World Bank all-in 2%; all-in 3%",share_of_capex,source_anchored_alternatives,"US DOE 2024 and World Bank 2026 electrolyzer techno-economics",operating cost,"The World Bank all-in cases set explicit replacement cost to zero to prevent double counting"
R2,beginning_of_life_energy,55,"technology sensitivity reported separately",kWh/kg H2,source_anchored,"US DOE Hydrogen Shot Water Electrolysis Technology Assessment 2024",hydrogen conversion,"Degradation raises within-stack electricity use; replacement stacks can embody later efficiency"
R2,initial_stack_life,60000,"fixed-cadence counterfactuals 20000-100000",hour,source_anchored_main_and_stress_test,"US DOE 2024; World Bank 2026",replacement timing,"Short cadences are mechanism stress tests, not forecasts"
R2,water_requirement,15,"10-60",kg water/kg H2,literature_informed_scenario,"World Bank 2026 electrolyzer techno-economics",water operating cost,"Water availability is not endogenized; northwest water constraints remain an external-validity limitation"
R2,entry_hydrogen_price,28,"18; 20; 22; 24; 26; 30; 32",2026 real CNY/kg,source_contextualized_scenario,"China Hydrogen Development Report 2025 reports a December 2024 mixed-route production-side sample near 27.99 CNY/kg",entry valuation,"A rounded evaluation scenario, not an observed 2026 green-hydrogen contract price"
R2,low_return_hurdle,"1.4473% unrounded mean; reported about 1.45%",daily range 1.4151%-1.4832%,nominal_rate,source_anchored,"ChinaBond five-year government-bond yield curve, 20 trading days from 4 June to 2 July 2026",equity NPV hurdle,"An observable enterprise-rule anchor, not a statutory national policy threshold and not a real yield"
R2,comparison_hurdles,"6.5%; 8%",,nominal_rate,enterprise_rule,"Huadian Energy Investment Management Regulations, Annex 1, disclosed 6 December 2025; the disclosed document repeals the 2023 version",comparison NPV hurdles,"6.5% is the separate enterprise comparator; 8% is an analytical frontier point. Neither is a statutory national threshold, and neither belongs to the enterprise rule used for the low-return criterion"
R2,inflation,0.02,"0; 0.01; 0.03",annual_rate,policy_anchor_and_sensitivity,"2026 Government Work Report CPI target of about 2%",convert 2026-real inputs to nominal cash flows,"Constant long-run inflation is a deterministic accounting scenario, not a 2026-2060 forecast"
R2,debt_ratio,0.70,"0; 0.30; 0.50; 0.80; 0.90",share_of_net_capex,transparent_scenario,"Project-finance sensitivity",equity cash flow,"Wide financing surface is deterministic and carries no bankability probability"
R2,loan_rate,0.035,"0.02; 0.03; 0.04; 0.05; 0.06; 0.08",nominal_rate,transparent_scenario,"Project-finance sensitivity",interest cash flow,"Nominal rate is paired with nominal cash flows"
R2,project_horizon,"2026-2060 conditional horizon","15; 20; 25; 30; 35",operating_years,conditional_assumption,"Research question plus explicit horizon sensitivity",cash-flow window,"The 35-year case assumes continuing access to low-cost electricity through contract renewal, repowering or replacement supply; it is not proof that the original host asset survives"
